,combination,correlation,pca_num,accuracy
0,"('relief', 'rest')",partial,6,0.13636363636363635
0,"('relief', 'rest')",partial,7,0.13636363636363635
0,"('relief', 'rest')",partial,8,0.13636363636363635
0,"('relief', 'rest')",partial,9,0.13636363636363635
0,"('relief', 'rest')",partial,10,0.13636363636363635
0,"('relief', 'rest')",partial,11,0.13636363636363635
0,"('relief', 'rest')",partial,12,0.13636363636363635
0,"('relief', 'rest')",partial,13,0.3181818181818182
0,"('relief', 'rest')",partial,14,0.2727272727272727
0,"('relief', 'rest')",partial,15,0.2727272727272727
0,"('relief', 'rest')",partial,16,0.2727272727272727
0,"('relief', 'rest')",partial,17,0.2727272727272727
0,"('relief', 'rest')",partial,18,0.18181818181818182
0,"('relief', 'rest')",partial,19,0.18181818181818182
0,"('relief', 'rest')",partial,20,0.13636363636363635
0,"('relief', 'rest')",partial,21,0.13636363636363635
0,"('relief', 'rest')",partial,22,0.13636363636363635
0,"('relief', 'rest')",partial,23,0.13636363636363635
0,"('relief', 'rest')",partial,24,0.13636363636363635
0,"('relief', 'rest')",partial,25,0.13636363636363635
0,"('relief', 'rest')",partial,26,0.13636363636363635
0,"('relief', 'rest')",partial,27,0.13636363636363635
0,"('relief', 'rest')",partial,28,0.13636363636363635
0,"('relief', 'rest')",partial,29,0.13636363636363635
0,"('pain', 'relief')",precision,1,0.3181818181818182
0,"('pain', 'relief')",precision,2,0.2727272727272727
0,"('pain', 'relief')",precision,3,0.36363636363636365
0,"('pain', 'relief')",precision,4,0.22727272727272727
0,"('pain', 'relief')",precision,5,0.18181818181818182
0,"('pain', 'relief')",precision,6,0.22727272727272727
0,"('pain', 'relief')",precision,7,0.18181818181818182
0,"('pain', 'relief')",precision,8,0.18181818181818182
0,"('pain', 'relief')",precision,9,0.045454545454545456
0,"('pain', 'relief')",precision,10,0.09090909090909091
0,"('pain', 'relief')",precision,11,0.045454545454545456
0,"('pain', 'relief')",precision,12,0.09090909090909091
0,"('pain', 'relief')",precision,13,0.2727272727272727
0,"('pain', 'relief')",precision,14,0.22727272727272727
0,"('pain', 'relief')",precision,15,0.2727272727272727
0,"('pain', 'relief')",precision,16,0.18181818181818182
0,"('pain', 'relief')",precision,17,0.18181818181818182
0,"('pain', 'relief')",precision,18,0.13636363636363635
0,"('pain', 'relief')",precision,19,0.18181818181818182
0,"('pain', 'relief')",precision,20,0.13636363636363635
0,"('pain', 'relief')",precision,21,0.09090909090909091
0,"('pain', 'relief')",precision,22,0.09090909090909091
0,"('pain', 'relief')",precision,23,0.09090909090909091
0,"('pain', 'relief')",precision,24,0.09090909090909091
0,"('pain', 'relief')",precision,25,0.09090909090909091
0,"('pain', 'relief')",precision,26,0.09090909090909091
0,"('pain', 'relief')",precision,27,0.09090909090909091
0,"('pain', 'relief')",precision,28,0.09090909090909091
0,"('pain', 'relief')",precision,29,0.09090909090909091
0,"('pain', 'rest')",precision,1,0.0
0,"('pain', 'rest')",precision,2,0.0
0,"('pain', 'rest')",precision,3,0.2727272727272727
0,"('pain', 'rest')",precision,4,0.36363636363636365
0,"('pain', 'rest')",precision,5,0.36363636363636365
0,"('pain', 'rest')",precision,6,0.2727272727272727
0,"('pain', 'rest')",precision,7,0.2727272727272727
0,"('pain', 'rest')",precision,8,0.3181818181818182
0,"('pain', 'rest')",precision,9,0.4090909090909091
